Date,Ticker,TweetCount
2020-11-01,AAPL,1195
2020-11-01,AMZN,1270
2020-11-01,CRM,1508
2020-11-01,JPM,631
2020-11-01,MSFT,829
2020-11-01,PTON,262
2020-11-01,TSLA,1646
2020-11-01,ZM,6962
2020-11-02,AAPL,2657
2020-11-02,AMZN,2292
2020-11-02,CRM,2149
2020-11-02,JPM,829
2020-11-02,MSFT,1314
2020-11-02,PTON,305
2020-11-02,TSLA,2923
2020-11-02,ZM,6224
2020-11-03,AAPL,2048
2020-11-03,AMZN,1646
2020-11-03,CRM,2078
2020-11-03,JPM,1004
2020-11-03,MSFT,1328
2020-11-03,PTON,284
2020-11-03,TSLA,3455
2020-11-03,ZM,6184
2020-11-04,AAPL,1974
2020-11-04,AMZN,1898
2020-11-04,CRM,2143
2020-11-04,JPM,775
2020-11-04,MSFT,1231
2020-11-04,PTON,323
2020-11-04,TSLA,2484
2020-11-04,ZM,5534
2020-11-05,AAPL,2015
2020-11-05,AMZN,1627
2020-11-05,CRM,2252
2020-11-05,JPM,865
2020-11-05,MSFT,1383
2020-11-05,PTON,1166
2020-11-05,TSLA,2862
2020-11-05,ZM,5523
2020-11-06,AAPL,1564
2020-11-06,AMZN,1357
2020-11-06,CRM,1933
2020-11-06,JPM,593
2020-11-06,MSFT,1060
2020-11-06,PTON,889
2020-11-06,TSLA,2386
2020-11-06,ZM,5943
2020-11-07,AAPL,751
2020-11-07,AMZN,716
2020-11-07,CRM,1349
2020-11-07,JPM,460
2020-11-07,MSFT,740
2020-11-07,PTON,186
2020-11-07,TSLA,1315
2020-11-07,ZM,5007
2020-11-08,AAPL,800
2020-11-08,AMZN,695
2020-11-08,CRM,1444
2020-11-08,JPM,588
2020-11-08,MSFT,595
2020-11-08,PTON,201
2020-11-08,TSLA,1470
2020-11-08,ZM,5733
2020-11-09,AAPL,1992
2020-11-09,AMZN,2091
2020-11-09,CRM,2324
2020-11-09,JPM,1004
2020-11-09,MSFT,1028
2020-11-09,PTON,1763
2020-11-09,TSLA,3390
2020-11-09,ZM,8313
2020-11-10,AAPL,2455
2020-11-10,AMZN,1894
2020-11-10,CRM,2501
2020-11-10,JPM,777
2020-11-10,MSFT,1273
2020-11-10,PTON,1310
2020-11-10,TSLA,2824
2020-11-10,ZM,7193
2020-11-11,AAPL,2134
2020-11-11,AMZN,1486
2020-11-11,CRM,2233
2020-11-11,JPM,768
2020-11-11,MSFT,1254
2020-11-11,PTON,656
2020-11-11,TSLA,2758
2020-11-11,ZM,6799
2020-11-12,AAPL,2045
2020-11-12,AMZN,1597
2020-11-12,CRM,2498
2020-11-12,JPM,799
2020-11-12,MSFT,1251
2020-11-12,PTON,557
2020-11-12,TSLA,3065
2020-11-12,ZM,6491
2020-11-13,AAPL,1693
2020-11-13,AMZN,1519
2020-11-13,CRM,2111
2020-11-13,JPM,946
2020-11-13,MSFT,1089
2020-11-13,PTON,545
2020-11-13,TSLA,3523
2020-11-13,ZM,5996
2020-11-14,AAPL,677
2020-11-14,AMZN,759
2020-11-14,CRM,1234
2020-11-14,JPM,524
2020-11-14,MSFT,622
2020-11-14,PTON,250
2020-11-14,TSLA,1304
2020-11-14,ZM,5132
2020-11-15,AAPL,830
2020-11-15,AMZN,920
2020-11-15,CRM,1511
2020-11-15,JPM,516
2020-11-15,MSFT,632
2020-11-15,PTON,346
2020-11-15,TSLA,1479
2020-11-15,ZM,4938
2020-11-16,AAPL,1929
2020-11-16,AMZN,1562
2020-11-16,CRM,2428
2020-11-16,JPM,933
2020-11-16,MSFT,1105
2020-11-16,PTON,596
2020-11-16,TSLA,8991
2020-11-16,ZM,6085
2020-11-17,AAPL,1702
2020-11-17,AMZN,2768
2020-11-17,CRM,2452
2020-11-17,JPM,723
2020-11-17,MSFT,984
2020-11-17,PTON,299
2020-11-17,TSLA,7243
2020-11-17,ZM,5890
2020-11-18,AAPL,1963
2020-11-18,AMZN,1652
2020-11-18,CRM,2467
2020-11-18,JPM,789
2020-11-18,MSFT,1147
2020-11-18,PTON,488
2020-11-18,TSLA,9632
2020-11-18,ZM,6320
2020-11-19,AAPL,1763
2020-11-19,AMZN,1888
2020-11-19,CRM,2700
2020-11-19,JPM,887
2020-11-19,MSFT,1231
2020-11-19,PTON,569
2020-11-19,TSLA,7462
2020-11-19,ZM,5800
2020-11-20,AAPL,1572
2020-11-20,AMZN,1686
2020-11-20,CRM,2308
2020-11-20,JPM,956
2020-11-20,MSFT,1192
2020-11-20,PTON,742
2020-11-20,TSLA,4384
2020-11-20,ZM,5852
2020-11-21,AAPL,703
2020-11-21,AMZN,800
2020-11-21,CRM,1780
2020-11-21,JPM,509
2020-11-21,MSFT,623
2020-11-21,PTON,205
2020-11-21,TSLA,1909
2020-11-21,ZM,4698
2020-11-22,AAPL,785
2020-11-22,AMZN,891
2020-11-22,CRM,1807
2020-11-22,JPM,572
2020-11-22,MSFT,622
2020-11-22,PTON,247
2020-11-22,TSLA,1998
2020-11-22,ZM,4955
2020-11-23,AAPL,2141
2020-11-23,AMZN,1579
2020-11-23,CRM,2366
2020-11-23,JPM,640
2020-11-23,MSFT,1091
2020-11-23,PTON,492
2020-11-23,TSLA,7237
2020-11-23,ZM,4856
2020-11-24,AAPL,2210
2020-11-24,AMZN,1900
2020-11-24,CRM,2267
2020-11-24,JPM,840
2020-11-24,MSFT,1134
2020-11-24,PTON,435
2020-11-24,TSLA,8289
2020-11-24,ZM,4531
2020-11-25,AAPL,1710
2020-11-25,AMZN,2168
2020-11-25,CRM,3517
2020-11-25,JPM,659
2020-11-25,MSFT,1245
2020-11-25,PTON,296
2020-11-25,TSLA,6308
2020-11-25,ZM,5725
2020-11-26,AAPL,806
2020-11-26,AMZN,998
2020-11-26,CRM,2275
2020-11-26,JPM,568
2020-11-26,MSFT,910
2020-11-26,PTON,173
2020-11-26,TSLA,2535
2020-11-26,ZM,4131
2020-11-27,AAPL,1285
2020-11-27,AMZN,1538
2020-11-27,CRM,2039
2020-11-27,JPM,451
2020-11-27,MSFT,811
2020-11-27,PTON,265
2020-11-27,TSLA,5374
2020-11-27,ZM,5617
2020-11-28,AAPL,832
2020-11-28,AMZN,895
2020-11-28,CRM,1688
2020-11-28,JPM,389
2020-11-28,MSFT,488
2020-11-28,PTON,209
2020-11-28,TSLA,2319
2020-11-28,ZM,4417
2020-11-29,AAPL,1086
2020-11-29,AMZN,1010
2020-11-29,CRM,1860
2020-11-29,JPM,446
2020-11-29,MSFT,636
2020-11-29,PTON,219
2020-11-29,TSLA,2833
2020-11-29,ZM,5375
2020-11-30,AAPL,3519
2020-11-30,AMZN,1829
2020-11-30,CRM,2961
2020-11-30,JPM,825
2020-11-30,MSFT,1038
2020-11-30,PTON,642
2020-11-30,TSLA,7277
2020-11-30,ZM,7754
2020-12-01,AAPL,3172
2020-12-01,AMZN,3148
2020-12-01,CRM,5479
2020-12-01,JPM,1221
2020-12-01,MSFT,1910
2020-12-01,PTON,525
2020-12-01,TSLA,5990
2020-12-01,ZM,16347
2020-12-02,AAPL,2308
2020-12-02,AMZN,2284
2020-12-02,CRM,5654
2020-12-02,JPM,1397
2020-12-02,MSFT,1834
2020-12-02,PTON,535
2020-12-02,TSLA,6871
2020-12-02,ZM,21189
2020-12-03,AAPL,2055
2020-12-03,AMZN,1977
2020-12-03,CRM,4772
2020-12-03,JPM,1351
2020-12-03,MSFT,1799
2020-12-03,PTON,425
2020-12-03,TSLA,6578
2020-12-03,ZM,20387
2020-12-04,AAPL,1987
2020-12-04,AMZN,1857
2020-12-04,CRM,3983
2020-12-04,JPM,1359
2020-12-04,MSFT,1473
2020-12-04,PTON,317
2020-12-04,TSLA,4933
2020-12-04,ZM,19789
2020-12-05,AAPL,965
2020-12-05,AMZN,1109
2020-12-05,CRM,2843
2020-12-05,JPM,1166
2020-12-05,MSFT,1069
2020-12-05,PTON,215
2020-12-05,TSLA,3276
2020-12-05,ZM,20476
2020-12-06,AAPL,1078
2020-12-06,AMZN,1183
2020-12-06,CRM,2883
2020-12-06,JPM,1251
2020-12-06,MSFT,949
2020-12-06,PTON,230
2020-12-06,TSLA,3327
2020-12-06,ZM,22270
2020-12-07,AAPL,2331
2020-12-07,AMZN,1911
2020-12-07,CRM,3740
2020-12-07,JPM,1383
2020-12-07,MSFT,1651
2020-12-07,PTON,419
2020-12-07,TSLA,11038
2020-12-07,ZM,21736
2020-12-08,AAPL,3091
2020-12-08,AMZN,2208
2020-12-08,CRM,3423
2020-12-08,JPM,1513
2020-12-08,MSFT,1840
2020-12-08,PTON,798
2020-12-08,TSLA,11147
2020-12-08,ZM,22092
2020-12-09,AAPL,2749
2020-12-09,AMZN,2307
2020-12-09,CRM,3932
2020-12-09,JPM,2264
2020-12-09,MSFT,1743
2020-12-09,PTON,501
2020-12-09,TSLA,8766
2020-12-09,ZM,22415
2020-12-10,AAPL,1440
2020-12-10,AMZN,1502
2020-12-10,CRM,3004
2020-12-10,JPM,1181
2020-12-10,MSFT,974
2020-12-10,PTON,440
2020-12-10,TSLA,5742
2020-12-10,ZM,19680
